datetime,bwfl_id,dma_id,wwmd_id,min,mean,max
2024-09-18 00:45:00,Stoke Lane PRV,2296,2297,7.105787,8.883657,10.682549
2024-09-18 00:45:00,Woodland Way PRV,2005,"2301, 2332",2.8555791,4.627698,6.4802847
2024-09-18 00:45:00,Snowden Road DBV,2005_2296,"2293, 2302",-4.7974844,-3.4657805,-2.3327425
2024-09-18 00:45:00,New Station Way DBV,2005_2296,"2304, 2301",-0.48544616,0.0020122512,0.53681487
2024-09-18 00:45:00,inlet_2296,2296,2297,13.888889,13.888889,13.888889
2024-09-18 00:45:00,inlet_2005,2005,"2301, 2332",4.666667,4.666667,4.666667
2024-09-18 00:45:00,wastemeter_2303,Outside of BWFL,2303,0.36666667,0.36666667,0.36666667
2024-09-18 00:45:00,wastemeter_8315,2296,8315,0.31111112,0.31111112,0.31111112
2024-09-18 00:45:00,wastemeter_2302,2005,2302,0.06666667,0.06666667,0.06666667
2024-09-18 00:45:00,wastemeter_2308,2005_2296,"2293, 2302",0.1378431326588235,0.1378431326588235,0.1378431326588235
2024-09-18 00:45:00,wastemeter_2307,2005_2296,"2304, 2301",,,
2024-09-18 00:45:00,wastemeter_2293,2296,2293,6.088889,6.088889,6.088889
2024-09-18 00:45:00,wastemeter_2332,2005,2332,1.1666667,1.1666667,1.1666667
2024-09-18 00:45:00,Lodge Causeway PRV,2005,2302,0.0,0.08166667,0.179
2024-09-18 00:45:00,wastemeter_2294,2296,2294,,,
2024-09-18 00:45:00,wastemeter_2304,2296,2304,2.899099216216216,2.899099216216216,2.899099216216216
2024-09-18 00:45:00,wastemeter_2287,2296,2287,0.4828829013513513,0.4828829013513513,0.4828829013513513
2024-09-18 00:45:00,wastemeter_2297,2296,2297,,,
2024-09-18 00:45:00,wastemeter_2301,2005,2301,0.9444444,0.9444444,0.9444444
2024-09-18 01:00:00,Stoke Lane PRV,2296,2297,6.6494803,8.326469,10.549341
2024-09-18 01:00:00,Woodland Way PRV,2005,"2301, 2332",4.700590839,7.2395545375,9.8243797525
2024-09-18 01:00:00,Snowden Road DBV,2005_2296,"2293, 2302",-4.7295136,-3.499079,-2.353781
2024-09-18 01:00:00,New Station Way DBV,2005_2296,"2304, 2301",-0.5146073,0.0023528726,0.6485994
2024-09-18 01:00:00,inlet_2296,2296,2297,13.555556,13.555556,13.555556
2024-09-18 01:00:00,inlet_2005,2005,"2301, 2332",7.283889195,7.283889195,7.283889195
2024-09-18 01:00:00,wastemeter_2303,Outside of BWFL,2303,0.24444446,0.24444446,0.24444446
2024-09-18 01:00:00,wastemeter_8315,2296,8315,0.25555557,0.25555557,0.25555557
2024-09-18 01:00:00,wastemeter_2302,2005,2302,0.033333335,0.033333335,0.033333335
2024-09-18 01:00:00,wastemeter_2308,2005_2296,"2293, 2302",0.2014141388272727,0.2014141388272727,0.2014141388272727
2024-09-18 01:00:00,wastemeter_2307,2005_2296,"2304, 2301",0.011111111,0.011111111,0.011111111
2024-09-18 01:00:00,wastemeter_2293,2296,2293,5.533334,5.533334,5.533334
2024-09-18 01:00:00,wastemeter_2332,2005,2332,1.1666667,1.1666667,1.1666667
2024-09-18 01:00:00,Lodge Causeway PRV,2005,2302,0.0,0.023,0.115
2024-09-18 01:00:00,wastemeter_2294,2296,2294,,,
2024-09-18 01:00:00,wastemeter_2304,2296,2304,2.786486586486487,2.786486586486487,2.786486586486487
2024-09-18 01:00:00,wastemeter_2287,2296,2287,0.4356725292105263,0.4356725292105263,0.4356725292105263
2024-09-18 01:00:00,wastemeter_2297,2296,2297,,,
2024-09-18 01:00:00,wastemeter_2301,2005,2301,0.87777776,0.87777776,0.87777776
2024-09-18 01:15:00,Stoke Lane PRV,2296,2297,6.547449,8.210774,10.39346
2024-09-18 01:15:00,Woodland Way PRV,2005,"2301, 2332",2.6609643,4.7884235,6.7478805
2024-09-18 01:15:00,Snowden Road DBV,2005_2296,"2293, 2302",-4.6275578,-3.4858403,-2.361873
2024-09-18 01:15:00,New Station Way DBV,2005_2296,"2304, 2301",-0.48544616,0.0021734068,0.538435
2024-09-18 01:15:00,inlet_2296,2296,2297,13.111112,13.111112,13.111112
2024-09-18 01:15:00,inlet_2005,2005,"2301, 2332",4.822222,4.822222,4.822222
2024-09-18 01:15:00,wastemeter_2303,Outside of BWFL,2303,0.17777778,0.17777778,0.17777778
2024-09-18 01:15:00,wastemeter_8315,2296,8315,0.23333335,0.23333335,0.23333335
2024-09-18 01:15:00,wastemeter_2302,2005,2302,0.033333335,0.033333335,0.033333335
2024-09-18 01:15:00,wastemeter_2308,2005_2296,"2293, 2302",0.16355555232,0.16355555232,0.16355555232
2024-09-18 01:15:00,wastemeter_2307,2005_2296,"2304, 2301",,,
2024-09-18 01:15:00,wastemeter_2293,2296,2293,5.6222224,5.6222224,5.6222224
2024-09-18 01:15:00,wastemeter_2332,2005,2332,1.2111112,1.2111112,1.2111112
2024-09-18 01:15:00,Lodge Causeway PRV,2005,2302,1.4341428571428572,1.9485192207142856,2.59325
2024-09-18 01:15:00,wastemeter_2294,2296,2294,,,
2024-09-18 01:15:00,wastemeter_2304,2296,2304,2.5411412351351355,2.5411412351351355,2.5411412351351355
2024-09-18 01:15:00,wastemeter_2287,2296,2287,0.4108187257894736,0.4108187257894736,0.4108187257894736
2024-09-18 01:15:00,wastemeter_2297,2296,2297,,,
2024-09-18 01:15:00,wastemeter_2301,2005,2301,0.9,0.9,0.9
2024-09-18 01:30:00,Stoke Lane PRV,2296,2297,6.5304437,8.299844,10.574849
2024-09-18 01:30:00,Woodland Way PRV,2005,"2301, 2332",3.074521,4.676673,6.4754195
2024-09-18 01:30:00,Snowden Road DBV,2005_2296,"2293, 2302",-4.954464,-3.669965,-2.250207
2024-09-18 01:30:00,New Station Way DBV,2005_2296,"2304, 2301",-0.48544616,0.0022821215,0.53681487
2024-09-18 01:30:00,inlet_2296,2296,2297,13.333334,13.333334,13.333334
2024-09-18 01:30:00,inlet_2005,2005,"2301, 2332",4.7222223,4.7222223,4.7222223
2024-09-18 01:30:00,wastemeter_2303,Outside of BWFL,2303,0.15555556,0.15555556,0.15555556
2024-09-18 01:30:00,wastemeter_8315,2296,8315,0.2,0.2,0.2
2024-09-18 01:30:00,wastemeter_2302,2005,2302,0.044444446,0.044444446,0.044444446
2024-09-18 01:30:00,wastemeter_2308,2005_2296,"2293, 2302",0.18144444486,0.18144444486,0.18144444486
2024-09-18 01:30:00,wastemeter_2307,2005_2296,"2304, 2301",0.011111111,0.011111111,0.011111111
2024-09-18 01:30:00,wastemeter_2293,2296,2293,5.744445,5.744445,5.744445
2024-09-18 01:30:00,wastemeter_2332,2005,2332,1.3000001,1.3000001,1.3000001
2024-09-18 01:30:00,Lodge Causeway PRV,2005,2302,0.0,0.022466667,0.069
2024-09-18 01:30:00,wastemeter_2294,2296,2294,,,
2024-09-18 01:30:00,wastemeter_2304,2296,2304,2.492792908108108,2.492792908108108,2.492792908108108
2024-09-18 01:30:00,wastemeter_2287,2296,2287,0.3909356828947368,0.3909356828947368,0.3909356828947368
2024-09-18 01:30:00,wastemeter_2297,2296,2297,,,
2024-09-18 01:30:00,wastemeter_2301,2005,2301,0.75555557,0.75555557,0.75555557
2024-09-18 01:45:00,Stoke Lane PRV,2296,2297,5.634836,8.005494,10.044854
2024-09-18 01:45:00,Woodland Way PRV,2005,"2301, 2332",3.755173055588235,6.568892867647058,9.13012624117647
2024-09-18 01:45:00,Snowden Road DBV,2005_2296,"2293, 2302",-5.0984964,-3.2190547,-1.6077234
2024-09-18 01:45:00,New Station Way DBV,2005_2296,"2304, 2301",-0.4838261,0.0024168314,0.538435
